suite,shot,method,n_bins,n_dof,fits_data,seconds,resid_pct,resid_unsat_pct,n_imputed_channels,hi10_frac,centroid_mev,n_eff_bins,wasserstein_mev,total_variation,log_rms,hi10_frac_err,truth_hi10_frac,truth_n_eff_bins,truth_a4,truth_a3,truth_has_bump,pred_a4,a4_err,pred_a4_sigma,a4_within_1sig
synthetic-offprior,offprior_0000,CNN n50,50,50,False,0.04970060000778176,42.56594833655317,42.56594833655317,0,0.11213521092872886,19.277641974074804,8.654411438529179,0.6744773350466926,0.04891310718449847,1.0871307816061884,0.01422483696859439,0.09791037396013447,8.64579650309044,18.628794076905436,0.0,False,,,,
synthetic-offprior,offprior_0000,DNN spectrum n20,20,20,False,0.04789760000130627,45.657371135318485,45.657371135318485,0,0.0,,2.7779478273568836,2.394926238180247,0.6845804083430491,2.8794342134400863,0.09791037396013447,0.09791037396013447,8.64579650309044,18.628794076905436,0.0,False,,,,
synthetic-offprior,offprior_0000,DNN classifier n50,50,50,False,0.04904430000169668,53.613984890245106,53.613984890245106,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,3.2371832149600204,0.8356466579134065,3.1094853355371117,0.09790914716006528,0.09791037396013447,8.64579650309044,18.628794076905436,0.0,False,,,,
synthetic-offprior,offprior_0000,PFF ensemble,200,6,False,0.23914140000124462,44.89492865342602,44.89492865342602,0,0.08451340601619896,13.582446107824715,7.573069461219385,0.46141344898369435,0.05318583375721058,0.4712570298233066,0.013396967943935509,0.09791037396013447,8.64579650309044,18.628794076905436,0.0,False,,,,
synthetic-offprior,offprior_0000,TSVD_NN,100,7,True,0.005341299998690374,39.358988996527344,39.358988996527344,0,0.06356956137657692,49.5,3.954383099712935,3.72445589342724,0.6197240587125605,2.939693655271267,0.03434081258355755,0.09791037396013447,8.64579650309044,18.628794076905436,0.0,False,,,,
synthetic-offprior,offprior_0000,truth (reference),200,6,False,0.0,44.16934259042986,44.16934259042986,0,0.09791037396013447,14.319298526932641,8.64579650309044,0.0,0.0,0.0,0.0,0.09791037396013447,8.64579650309044,18.628794076905436,,False,,,,
synthetic-offprior,offprior_0001,CNN n50,50,50,False,0.049160199996549636,27.77430679192077,27.77430679192077,0,0.03138037460482522,16.745104094032662,5.756535994068292,0.3652577261362034,0.045880830230825724,0.887728974249275,0.009954806088452707,0.04133518069327793,6.330397522399795,35.030172593925116,0.0,False,,,,
synthetic-offprior,offprior_0001,DNN spectrum n20,20,20,False,0.04978679999476299,35.097699634209114,35.097699634209114,0,0.0,,2.777777784805045,1.8651934881006735,0.3844999003576582,2.818524863795954,0.04133518069327793,0.04133518069327793,6.330397522399795,35.030172593925116,0.0,False,,,,
synthetic-offprior,offprior_0001,DNN classifier n50,50,50,False,0.046683099993970245,30.652790272932258,30.652790272932258,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,2.2108382172109726,0.8016020220168641,3.0574281445254585,0.04133395389320875,0.04133518069327793,6.330397522399795,35.030172593925116,0.0,False,,,,
synthetic-offprior,offprior_0001,PFF ensemble,200,6,False,0.23889999999664724,27.867248534196907,27.867248534196907,0,0.04626324561603614,12.919098323015627,5.664839465647709,0.2548016450070976,0.052463581251230906,0.41957430940122065,0.004928064922758213,0.04133518069327793,6.330397522399795,35.030172593925116,0.0,False,,,,
